iteracion,a,b,c,f(c),error_x,decision
132,199.91424297999365,1100.0,199.96681418006074,-2.043800524867578,0.05257120006709215,CONTINUAR
133,199.96681418006074,1100.0,200.01765680224548,-1.9766916741974683,0.05084262218474578,CONTINUAR
134,200.01765680224548,1100.0,200.0668273039261,-1.911768664889678,0.04917050168060655,CONTINUAR
135,200.0668273039261,1100.0,200.11438032315553,-1.8489614490214308,0.04755301922944,CONTINUAR
136,200.11438032315553,1100.0,200.1603687356855,-1.7882021487473594,0.04598841252996522,CONTINUAR
137,200.1603687356855,1100.0,200.20484371030847,-1.7294249939677115,0.044474974622971786,CONTINUAR
138,200.20484371030847,1100.0,200.24785476255983,-1.6725662614595365,0.043011052251358706,CONTINUAR
139,200.24785476255983,1100.0,200.2894498068224,-1.617564215458458,0.04159504426257854,CONTINUAR
140,200.2894498068224,1100.0,200.3296752068748,-1.5643590496787567,0.04022540005240671,CONTINUAR
141,200.3296752068748,1100.0,200.368575824924,-1.512892830757437,0.03890061804918332,CONTINUAR
142,200.368575824924,1100.0,200.40619506916283,-1.4631094431055658,0.03761924423884011,CONTINUAR
143,200.40619506916283,1100.0,200.4425749398915,-1.4149545351495192,0.03637987072866622,CONTINUAR
144,200.4425749398915,1100.0,200.47775607424143,-1.3683754669445989,0.035181134349926424,CONTINUAR
145,200.47775607424143,1100.0,200.51177778954016,-1.3233212591391634,0.03402171529873499,CONTINUAR
146,200.51177778954016,1100.0,200.5446781253543,-1.279742543270288,0.03290033581413354,CONTINUAR
147,200.5446781253543,1100.0,200.57649388424628,-1.2375915133693525,0.031815758891980295,CONTINUAR
148,200.57649388424628,1100.0,200.607260671282,-1.1968218788541094,0.03076678703573066,CONTINUAR
149,200.607260671282,1100.0,200.63701293232336,-1.157388818685888,0.029752261041352313,CONTINUAR
150,200.63701293232336,1100.0,200.66578399114007,-1.1192489367684573,0.028771058816715822,CONTINUAR
151,200.66578399114007,1100.0,200.69360608537463,-1.082360218563906,0.027822094234551287,CONTINUAR
152,200.69360608537463,1100.0,200.72051040139297,-1.0466819889028898,0.026904316018345753,CONTINUAR
153,200.72051040139297,1100.0,200.74652710805267,-1.0121748709644862,0.02601670665970346,CONTINUAR
154,200.74652710805267,1100.0,200.77168538942004,-0.9788007464011059,0.025158281367367863,CONTINUAR
155,200.77168538942004,1100.0,200.79601347646678,-0.9465227165849228,0.024328087046740166,CONTINUAR
156,200.79601347646678,1100.0,200.8195386777756,-0.9153050649502461,0.023525201308814303,CONTINUAR
