metodo,inicio,iteracion,z_anterior,z_actual,a,b,c,f_z,f_c,error,decision
Punto fijo,-8.0,9,,,1.5855468750000012,1.5859375000000013,1.5857421875000013,,1.6215127508378835e-05,0.0001953125000000444,Bisección
Punto fijo,-8.0,10,,,1.5855468750000012,1.5857421875000013,1.5856445312500012,,2.436431723817911e-06,9.76562500000222e-05,Bisección
Punto fijo,-8.0,11,,,1.5855468750000012,1.5856445312500012,1.5855957031250012,,-4.45324921038992e-06,4.882812499995559e-05,Bisección
Punto fijo,-8.0,12,,,1.5855957031250012,1.5856445312500012,1.585620117187501,,-1.008380989597768e-06,2.4414062499977796e-05,Bisección
Punto fijo,-8.0,13,,,1.585620117187501,1.5856445312500012,1.585632324218751,,7.140323055043751e-07,1.2207031250044409e-05,Bisección
Punto fijo,0.0,1,0.0,0.6599999999999999,,,,-0.1707396115486145,,0.6599999999999999,Punto fijo amortiguado
Punto fijo,0.0,2,0.6599999999999999,1.0400359553898821,,,,-0.09114305635859798,,0.3800359553898822,Punto fijo amortiguado
Punto fijo,0.0,3,1.0400359553898821,1.2762222813768176,,,,-0.048193960976429695,,0.23618632598693545,Punto fijo amortiguado
Punto fijo,0.0,4,1.2762222813768176,1.41748282683636,,,,-0.02505650025085404,,0.14126054545954236,Punto fijo amortiguado
Punto fijo,0.0,5,1.41748282683636,1.4972757894322033,,,,-0.012832181711656898,,0.07979296259584334,Punto fijo amortiguado
Punto fijo,0.0,6,1.4972757894322033,1.5402201962819646,,,,-0.006503266999663748,,0.04294440684976131,Punto fijo amortiguado
Punto fijo,0.0,7,1.5402201962819646,1.562591276764645,,,,-0.003275130064406606,,0.02237108048268044,Punto fijo amortiguado
Punto fijo,0.0,8,1.562591276764645,1.5740227267360851,,,,-0.001643676179182929,,0.011431449971440077,Punto fijo amortiguado
Punto fijo,0.0,9,1.5740227267360851,1.5798029054460585,,,,-0.0008233972286024738,,0.005780178709973383,Punto fijo amortiguado
Punto fijo,0.0,10,1.5798029054460585,1.582709503722799,,,,-0.00041209243377748894,,0.0029065982767404464,Punto fijo amortiguado
Punto fijo,0.0,11,1.582709503722799,1.5841669811022001,,,,-0.00020614518359174383,,0.001457477379401162,Punto fijo amortiguado
Punto fijo,0.0,12,1.5841669811022001,1.5848967708305355,,,,-0.00010309739792768724,,0.0007297897283353727,Punto fijo amortiguado
Punto fijo,0.0,13,1.5848967708305355,1.5852619292706562,,,,-5.155490858388401e-05,,0.0003651584401207497,Punto fijo amortiguado
Punto fijo,0.0,14,1.5852619292706562,1.5854445744871515,,,,-2.577900770983632e-05,,0.00018264521649524745,Punto fijo amortiguado
Punto fijo,0.0,15,1.5854445744871515,1.5855359136073397,,,,-1.2889892335943287e-05,,9.133912018821633e-05,Punto fijo amortiguado
Punto fijo,0.0,16,1.5855359136073397,1.585581587297024,,,,-6.4450433041596256e-06,,4.5673689684333496e-05,Punto fijo amortiguado
